11-03-2024 15:20:07.839 [main] INFO  c.s.r.SpringbootRestSimpleApplication.logStarting - Starting SpringbootRestSimpleApplication using Java 21.0.2 with PID 33448 (C:\Users\hello\OneDrive\Documents\GitHub\springboot-rest-simple\target\classes started by hello in C:\Users\hello\OneDrive\Documents\GitHub\springboot-rest-simple)
11-03-2024 15:20:07.842 [main] INFO  c.s.r.SpringbootRestSimpleApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
11-03-2024 15:20:08.493 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
11-03-2024 15:20:08.559 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Finished Spring Data repository scanning in 59 ms. Found 1 JPA repository interface.
11-03-2024 15:20:09.055 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer.initialize - Tomcat initialized with port 8080 (http)
11-03-2024 15:20:09.073 [main] INFO  o.a.coyote.http11.Http11NioProtocol.log - Initializing ProtocolHandler ["http-nio-8080"]
11-03-2024 15:20:09.076 [main] INFO  o.a.catalina.core.StandardService.log - Starting service [Tomcat]
11-03-2024 15:20:09.076 [main] INFO  o.a.catalina.core.StandardEngine.log - Starting Servlet engine: [Apache Tomcat/10.1.19]
11-03-2024 15:20:09.142 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/].log - Initializing Spring embedded WebApplicationContext
11-03-2024 15:20:09.144 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext.prepareWebApplicationContext - Root WebApplicationContext: initialization completed in 1245 ms
11-03-2024 15:20:09.175 [main] INFO  com.zaxxer.hikari.HikariDataSource.getConnection - HikariPool-1 - Starting...
11-03-2024 15:20:09.450 [main] INFO  com.zaxxer.hikari.pool.HikariPool.checkFailFast - HikariPool-1 - Added connection conn0: url=jdbc:h2:file:./data/app_db user=SA
11-03-2024 15:20:09.452 [main] INFO  com.zaxxer.hikari.HikariDataSource.getConnection - HikariPool-1 - Start completed.
11-03-2024 15:20:09.476 [main] INFO  o.s.b.a.h.H2ConsoleAutoConfiguration.logDataSources - H2 console available at '/h2-console'. Database available at 'jdbc:h2:file:./data/app_db'
11-03-2024 15:20:09.629 [main] INFO  o.h.jpa.internal.util.LogHelper.logPersistenceUnitInformation - HHH000204: Processing PersistenceUnitInfo [name: default]
11-03-2024 15:20:09.737 [main] INFO  org.hibernate.Version.logVersion - HHH000412: Hibernate ORM core version 6.4.4.Final
11-03-2024 15:20:09.777 [main] INFO  o.h.c.i.RegionFactoryInitiator.initiateService - HHH000026: Second-level cache disabled
11-03-2024 15:20:10.093 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo.addTransformer - No LoadTimeWeaver setup: ignoring JPA class transformer
11-03-2024 15:20:10.203 [main] WARN  org.hibernate.orm.deprecation.constructDialect - HHH90000025: H2Dialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
11-03-2024 15:20:11.038 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator.initiateService - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
11-03-2024 15:20:11.097 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean.buildNativeEntityManagerFactory - Initialized JPA EntityManagerFactory for persistence unit 'default'
11-03-2024 15:20:11.422 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration.openEntityManagerInViewInterceptor - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
11-03-2024 15:20:11.801 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer.start - Tomcat started on port 8080 (http) with context path ''
11-03-2024 15:20:11.809 [main] INFO  c.s.r.SpringbootRestSimpleApplication.logStarted - Started SpringbootRestSimpleApplication in 5.436 seconds (process running for 5.823)
11-03-2024 15:20:11.818 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean.destroy - Closing JPA EntityManagerFactory for persistence unit 'default'
11-03-2024 15:20:11.820 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource.close - HikariPool-1 - Shutdown initiated...
11-03-2024 15:20:11.821 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource.close - HikariPool-1 - Shutdown completed.
